"Adres";"Adres za NATem";"Adres NAT";"Opis1";"Opis2";"Opis3";"Opis4";"Opis5"
"126.198.200.139/32";"Nie";"";"FW_BACK_WAR1";"";"";"";""
"126.198.200.140/32";"Nie";"";"FW_BACK_WAR2";"";"";"";""
"126.198.200.142/32";"Nie";"";"FW_CASTOR1";"";"";"";""
"126.198.200.143/32";"Nie";"";"FW_CASTOR2";"";"";"";""
"126.198.135.48/28";"Nie";"";"Dynamic MSISDN testbed WAN";"";"";"";""
"126.198.135.32/28";"Nie";"";"Dynamic MSISDN prod WAN";"";"";"";""
"172.18.245.0/24";"Nie";"";"NATLOG katowice";"";"";"";""
"172.18.246.0/24";"Nie";"";"NATLOG poznan";"";"";"";""
"172.18.247.0/24";"Nie";"";"NATLOG gdansk";"";"";"";""
"172.18.221.0/24";"Nie";"";"LTE EPC Core";"MME/SPGW-WAR";"";"";""
"172.18.226.0/24";"Nie";"";"LTE EPC Core";"S1-DEC BBSWITCH IPWAN L3VPN";"";"";""
"172.18.228.0/24";"Nie";"";"LTE EPC Core";"S1-DEC BBSWITCH";"";"";""
"172.18.240.0/24";"Nie";"";"LTE EPC Obrzezna - IPWAN";"";"";"";""
"172.18.239.0/24";"Nie";"";"LTE EPC  LAB Obrzezna";"";"";"";""
"172.18.223.0/24";"Nie";"";"LTE EPC Core";"SGSN-TESTBED KALISKA";"";"";""
"10.240.0.0/12";"Nie";"";"SPGW-GDA02 internet";"";"";"";""
"172.16.60.0/24";"Nie";"";"VM serwer (LI)";"";"";"";""
"172.20.14.64/28";"Nie";"";"HSS";"Diameter 1";"";"";""
"172.20.142.64/28";"Nie";"";"HSS";"Diameter 2";"";"";""
"126.198.130.64/26";"Nie";"";"SDG KAS";"";"";"";""
"126.198.130.128/26";"Nie";"";"SDG KAZ";"";"";"";""
"172.20.8.96/27";"Nie";"";"SGSN-WAR04 IuCP1";"";"";"";""
"172.20.136.96/27";"Nie";"";"SGSN-WAR04 IuCP2";"";"";"";""
"172.20.40.96/27";"Nie";"";"SGSN-KRA01 IuCP1";"";"";"";""
"172.20.168.96/27";"Nie";"";"SGSN-KRA01 IuCP2";"";"";"";""
"172.20.68.64/27";"Nie";"";"SGSN-GDA01 IuCP1";"";"";"";""
"172.20.196.64/27";"Nie";"";"SGSN-GDA01 IuCP2";"";"";"";""
"172.20.84.64/27";"Nie";"";"SGSN-POZ01 IuCP1";"";"";"";""
"172.20.212.64/27";"Nie";"";"SGSN-POZ01 IuCP2";"";"";"";""
"172.20.84.96/27";"Nie";"";"SGSN-WRO01 IuCP1";"";"";"";""
"172.20.212.96/27";"Nie";"";"SGSN-WRO01 IuCP2";"";"";"";""
"172.18.205.64/27";"Nie";"";"SGSN-WAR02 IuCP1";"";"";"";""
"172.18.205.96/27";"Nie";"";"SGSN-WAR02 IuCP2";"";"";"";""
"172.18.205.160/27";"Nie";"";"SGSN-KAT02 IuCP1";"";"";"";""
"172.18.205.128/27";"Nie";"";"SGSN-KAT02 IuCP2";"";"";"";""
"172.20.40.64/27";"Nie";"";"SGSN-WAR06 IuCP1";"";"";"";""
"172.20.168.64/27";"Nie";"";"SGSN-WAR06 IuCP2";"";"";"";""
"10.2.111.0/24";"Nie";"";"Gb-over-IP SGSN";"";"";"";""
"172.18.225.0/24";"Nie";"";"MSB VRF FLEXI PP20K";"";"";"";""
"172.18.224.0/24";"Nie";"";"VRF MSB PP20K";"";"";"";""
"126.198.135.0/27";"Nie";"";"Dynamic MSISDN prod LAN";"";"";"";""
"172.16.54.0/24";"Nie";"";"s11";"ggsn-poz02-fng";"Poznań";"";""
"172.16.53.0/24";"Nie";"";"s1u";"ggsn-poz02-fng";"Poznań";"";""
"172.16.55.0/24";"Nie";"";"s4";"ggsn-poz02-fng";"Poznań";"";""
"172.16.56.0/24";"Nie";"";"s5_s8";"ggsn-poz02-fng";"Poznan";"";""
"172.18.227.0/24";"Nie";"";"LTE EPC Core WARSZAWA";"SGSN";"";"";""
"10.192.0.0/12";"Nie";"";"SPGW-WRO01 APN internet";"";"";"";""
"10.208.0.0/12";"Nie";"";"SPGW-WAR05 APN internet";"";"";"";""
"172.16.45.224/28";"Nie";"";"Gi Interconnect";"";"";"";""
"172.20.155.0/26";"Nie";"";"SIP Service Gateway KEN LAN";"";"";"";""
"172.20.155.64/29";"Nie";"";"SIP Service Gateway KEN WAN";"";"";"";""
"126.198.136.0/24";"Nie";"";"mVAS";"";"";"";""
"172.18.248.0/24";"Nie";"";"DRF Warszawa signalling #1";"";"";"";""
"172.18.249.0/24";"Nie";"";"DRF Warszawa signalling #2 ";"";"";"";""
"172.18.250.0/24";"Nie";"";"DRF Katowice signalling #1";"";"";"";""
"172.18.251.0/24";"Nie";"";"DRF Katowice signalling #2";"";"";"";""
"172.16.243.0/24";"Nie";"";"Femtocell ALU - Orange Labs";"";"";"";""
"172.16.244.0/24";"Nie";"";"Femtocell ALU - Orange Labs ";"";"";"";""
"172.20.4.224/28";"Nie";"";"FemtoGW_TB";"SCTP1";"Prosta";"";""
"172.20.132.224/28";"Nie";"";"FemtoGW_TB";"SCTP2";"Prosta";"";""
"172.20.4.248/30";"Nie";"";"FemtoGW_TB";"SCTP1 interconnect";"Prosta";"";""
"172.20.132.248/30";"Nie";"";"FemtoGW_TB";"SCTP2 interconnect";"Prosta";"";""
"172.21.2.224/27";"Nie";"";"FemtoGW_TB";"UP";"Prosta";"";""
"172.21.2.216/30";"Nie";"";"FemtoGW_TB";"UP1 interconnect";"Prosta";"";""
"172.21.2.220/30";"Nie";"";"FemtoGW_TB";"UP2 interconnect";"Prosta";"";""
"126.198.137.0/27";"Nie";"";"AS WAP";"AS PS WAR";"";"";""
"126.198.135.64/27";"Nie";"";"AS WAP interconnect";"";"";"";""
"126.198.135.96/27";"Nie";"";"AS INT interconnect";"";"";"";""
"172.18.181.32/28";"Nie";"";"VRF SMX-SRX";"210";"";"";""
"172.18.241.0/24";"Nie";"";"DRF L3 interconnect network";"";"";"";""
"126.198.136.0/27";"Nie";"";"SMSC8 LAN";"";"";"";""
"126.198.136.32/27";"Nie";"";"MMSC2 KEN LAN";"";"";"";""
"126.198.136.64/27";"Nie";"";"MMSC1 KAZ LAN";"";"";"";""
"126.198.136.96/29";"Nie";"";"SMSC8 WAN";"";"";"";""
"126.198.136.104/29";"Nie";"";"MMSC2 KEN WAN";"";"";"";""
"126.198.136.112/29";"Nie";"";"MMSC1 KAZ WAN";"";"";"";""
"172.18.181.48/28";"Nie";"";"VRF SMX-SRX";"210";"";"";""
"172.16.57.0/24";"Nie";"";"Gi-bypass";"ggsn-poz02-fng";"Poznan";"";""
"172.20.14.96/27";"Nie";"";"HSS Diameter";"Net 1";"Warszawa";"";""
"172.20.142.96/27";"Nie";"";"HSS Diameter";"Net 2";"Warszawa";"";""
"172.20.46.64/27";"Nie";"";"HSS Diameter";"Net 1";"Katowice";"";""
"172.20.174.64/27";"Nie";"";"HSS Diameter";"Net 2";"Katowice";"";""
"172.20.94.64/27";"Nie";"";"HSS Diameter";"Net 1";"Poznań";"";""
"172.20.222.64/27";"Nie";"";"HSS Diameter";"Net 2";"Poznań";"";""
"172.18.181.0/24";"Nie";"";"interconnect SRX";"";"";"";""
"172.18.236.0/24";"Nie";"";"LTE EPC Core KATOWICE";"SGSN";"";"";""
"172.18.232.0/24";"Nie";"";"LTE EPC Core";"ASR TESTBED";"";"";""
"172.18.237.0/24";"Nie";"";"LTE EPC Core GDAŃSK";"SGSN";"";"";""
"172.18.255.0/24";"Nie";"";"LTE EPC SPGW-CORPO1/2";"";"";"";""
"172.18.253.0/25";"Nie";"";"DSR-External-WAR";"";"";"";""
"172.18.254.0/24";"Nie";"";"LTE EPC SPGW-CORPO1/2";"";"";"";""
"172.18.181.80/28";"Nie";"";"";"";"";"";""
"172.18.181.96/28";"Nie";"";"";"";"";"";""
"172.18.181.112/28";"Nie";"";"";"";"";"";""
"172.18.181.128/28";"Nie";"";"";"";"";"";""
"172.18.181.144/28";"Nie";"";"";"";"";"";""
"172.18.181.160/28";"Nie";"";"";"";"";"";""
"172.18.181.176/28";"Nie";"";"";"";"";"";""
"172.18.181.192/28";"Nie";"";"";"";"";"";""
"172.18.181.208/28";"Nie";"";"";"";"";"";""
"172.18.181.224/28";"Nie";"";"";"";"";"";""
"172.18.181.240/28";"Nie";"";"";"";"";"";""
"172.18.181.0/28";"Nie";"";"VRF SMX-SRX";"255";"";"";""
"172.18.181.16/28";"Nie";"";"VRF SMX-SRX";"2009";"";"";""
"172.18.181.64/28";"Nie";"";"VRF SMX-SRX";"loopbacks";"";"";""
"126.198.133.112/29";"Nie";"";"QVoice_fw_net";"";"";"";""
"126.198.133.120/29";"Nie";"";"QVoice_interconn";"";"";"";""
"10.0.0.0/8";"Nie";"";"";"";"";"";""
"172.16.0.0/12";"Nie";"";"";"";"";"";""
"172.16.16.208/28";"Nie";"";"Ga Nowogrodzka47";"";"";"";""
"192.168.0.0/16";"Nie";"";"";"";"";"";""
"172.18.238.0/24";"Nie";"";"LTE EPC Core KATOWICE";"MME";"";"";""
"172.18.234.0/24";"Nie";"";"LTE EPC Core";"GDAŃSK MME";"";"";""
"126.198.133.96/28";"Nie";"";"natlog-war03";"";"";"";""
"126.198.136.120/29";"Nie";"";"zajete";"";"";"";""
"126.198.201.0/27";"Nie";"";"Interconnect MVNE";"";"";"";""
"172.16.58.0/24";"Nie";"";"Gi-RAS-NMS";"";"";"";""
"126.198.135.128/29";"Nie";"";"Voice mail TP Interconnect";"";"";"";""
"126.198.135.136/29";"Nie";"";"Voice mail TP Interconnect";"";"";"";""
"126.198.140.0/25";"Nie";"";"FWE NAT";"";"";"";""
"10.8.0.0/23";"Nie";"";"Łazienki";"OPEN";"";"";""
"10.6.0.0/23";"Nie";"";"Łazienki";"EAP-SIM";"";"";""
"10.6.2.0/24";"Nie";"";"Orange Labs";"EAP-SIM";"";"";""
"10.6.16.0/20";"Nie";"";"Manufaktura";"EAP-SIM";"";"";""
"10.8.4.0/22";"Nie";"";"Manufaktura";"OPEN";"";"";""
"10.6.3.0/24";"Nie";"";"Dworzec - Katowice";"EAP-SIM";"";"";""
"10.8.2.0/23";"Nie";"";"Dworzec - Katowice";"OPEN";"";"";""
"10.19.76.0/24";"Nie";"";"EAP-SIM";"Katowice";"Emitel";"Radius Client";""
"10.60.254.0/24";"Nie";"";"EAP-SIM";"Katowice";"Emitel";"Interconnect";""
"126.198.135.144/28";"Nie";"";"Serwer do CDRów z IN Prepaid";"";"";"";""
"126.198.136.96/27";"Nie";"";"";"";"";"";""
"126.198.136.0/26";"Nie";"";"";"";"";"";""
"126.198.136.64/26";"Nie";"";"";"";"";"";""
"172.16.139.0/24";"Nie";"";"IP WAN - Gi Corpo";"";"";"";""
"126.198.137.32/28";"Nie";"";"WLR AUS WAN";"";"";"";""
"126.198.137.48/28";"Nie";"";"WCO WAN";"";"";"";""
"126.198.137.128/26";"Nie";"";"WLR-AUS-LAN";"";"";"";""
"126.198.137.192/26";"Nie";"";"WCO-LAN";"";"";"";""
"126.198.137.128/27";"Nie";"";"WLR-AUS-LAN-KEN";"";"";"";""
"126.198.137.160/27";"Nie";"";"WLR-AUS-LAN-KAZ";"";"";"";""
"126.198.137.192/27";"Nie";"";"WCO-LAN-KEN";"";"";"";""
"10.6.0.0/16";"Nie";"";"SPGW-LOD01 APN internet pula 1C";"";"";"";""
"10.5.0.0/16";"Nie";"";"SPGW-LOD01 APN internet pula 1B";"";"";"";""
"126.198.137.224/27";"Nie";"";"WCO-LAN-KAZ";"";"";"";""
"126.198.136.0/25";"Nie";"";"";"";"";"";""
"126.198.136.128/25";"Nie";"";"zajete";"";"";"";""
"126.198.139.0/25";"Nie";"";"Aepona Swap KEN";"";"";"";""
"126.198.135.160/28";"Nie";"";"Aepona Swap KEN";"";"";"";""
"126.198.135.176/28";"Nie";"";"Aepona swap KEN";"";"";"";""
"126.198.135.224/29";"Nie";"";"PWLAN AAA";"";"";"";""
"126.198.135.200/29";"Nie";"";"WCO PROD RING";"";"";"";""
"126.198.135.192/29";"Nie";"";"WLR-AUS-PROD RING";"";"";"";""
"126.198.139.160/27";"Nie";"";"mVAS Testbed CBR";"";"";"";""
"126.198.139.128/27";"Nie";"";"Aepona swap TB";"";"";"";""
"126.198.135.208/29";"Nie";"";"Aepona Swap KEN Interconnect";"";"";"";""
"126.198.135.216/29";"Nie";"";"Aepona Swap KEN Interconnect";"";"";"";""
"126.198.160.0/20";"Nie";"";"BBSWITCH-WAR rezerw.";"";"";"";""
"100.64.0.0/10";"Nie";"";"RFC 6598";"";"";"";""
"100.70.0.0/16";"Nie";"";"GCN OPL ";"";"";"";""
"100.71.0.0/16";"Nie";"";"GCN OPL - rezerwacja";"";"";"";""
"100.72.0.0/16";"Nie";"";"GCN OPL - rezerwacja";"";"";"";""
"100.73.0.0/16";"Nie";"";"GCN OPL - rezerwacja";"";"";"";""
"100.80.0.0/16";"Nie";"";"GCN ORO ";"";"";"";""
"100.81.0.0/16";"Nie";"";"GCN ORO - rezerwacja ";"";"";"";""
"100.82.0.0/16";"Nie";"";"GCN ORO - rezerwacja";"";"";"";""
"100.83.0.0/16";"Nie";"";"GCN ORO - rezerwacja";"";"";"";""
"100.91.0.0/16";"Nie";"";"GCN ENO - rezerwacja";"";"";"";""
"100.92.0.0/16";"Nie";"";"GCN ENO - rezerwacja";"";"";"";""
"100.93.0.0/16";"Nie";"";"GCN ENO - rezerwacja ";"";"";"";""
"100.90.0.0/16";"Nie";"";"GCN ENO ";"";"";"";""
"172.18.219.0/24";"Nie";"";"SecGW dla LTE";"Networks";"";"";""
"100.70.0.0/20";"Nie";"";"GCN OPL VPN Internal pool 1 ";"";"";"";""
"100.70.16.0/22";"Nie";"";"GCN OPL VPN Internal pool 2";"";"";"";""
"100.70.24.0/22";"Nie";"";"GCN M* VPN Internal pool 1";"";"";"";""
"100.70.28.0/22";"Nie";"";"GCN OAM VPN Internal pool 1";"";"";"";""
"100.70.36.0/22";"Nie";"";"GCN OSP VPN Internal pool 1";"";"";"";""
"100.70.20.0/22";"Nie";"";"GCN OSK VPN Internal pool 1";"";"";"";""
"100.70.32.0/22";"Nie";"";"GCN OMD VPN Internal pool 1";"";"";"";""
"100.70.0.0/18";"Nie";"";"GCN OPL Internal ";"";"";"";""
"172.31.0.0/16";"Nie";"";"Voice mobile B2B services ";"";"";"";""
"100.70.64.0/18";"Nie";"";"GCN OPL External pool 1";"";"";"";""
"100.70.128.0/17";"Nie";"";"GCN OPL External pool 2";"";"";"";""
"100.70.0.0/24";"Nie";"";"GCN OPL connectivity  ";"";"";"";""
"100.70.64.0/20";"Nie";"";"GCN OPL VPN Eternal pool 1";"";"";"";""
"100.70.80.0/20";"Nie";"";"GCN ORO VPN Eternal pool 1";"";"";"";""
"100.70.96.0/20";"Nie";"";"GCN OSK VPN Eternal pool 1";"";"";"";""
"100.70.112.0/20";"Nie";"";"GCN M* VPN Eternal pool 1";"";"";"";""
"100.70.128.0/20";"Nie";"";"GCN OAM VPN Eternal pool 1";"";"";"";""
"100.70.144.0/20";"Nie";"";"GCN OMD VPN External pool 1";"";"";"";""
"100.70.160.0/20";"Nie";"";"GCN OSP VPN External pool 1";"";"";"";""
"126.198.142.96/28";"Nie";"";"";"";"";"";""
"10.16.215.1/32";"Nie";"";"fuwidcb1-kaz";"Kołbuś Mariusz";"";"";""
"10.16.215.2/32";"Nie";"";"fuwidcb1-kaz";"Kołbuś Mariusz";"";"";""
"10.16.215.4/32";"Nie";"";"fuwapp4";"Kołbuś Mariusz";"";"";""
"10.16.215.5/32";"Nie";"";"fuwapp4";"Kołbuś Mariusz";"";"";""
"10.16.215.10/32";"Nie";"";"pcrf-tb";"Kołbuś Mariusz";"";"";""
"10.16.215.37/32";"Nie";"";"fuwmsg2-kaz";"Kołbuś Mariusz";"";"";""
"10.16.215.38/32";"Nie";"";"fuwmsg2-kaz";"Kołbuś Mariusz";"";"";""
"10.16.215.39/32";"Nie";"";"fuwmsg2-kaz";"Kołbuś Mariusz";"";"";""
"10.16.215.40/32";"Nie";"";"fuwmb2-kaz";"Kołbuś Mariusz";"";"";""
"10.16.215.41/32";"Nie";"";"fuwmb2-kaz";"Kołbuś Mariusz";"";"";""
"10.16.215.42/32";"Nie";"";"fuwmb2-kaz";"Kołbuś Mariusz";"";"";""
"10.16.215.49/32";"Nie";"";"fuwidcb2-kaz";"Kołbuś Mariusz";"";"";""
"10.16.215.50/32";"Nie";"";"fuwidcb2-kaz";"Kołbuś Mariusz";"";"";""
"10.16.215.51/32";"Nie";"";"fuwidcb2-kaz";"Kołbuś Mariusz";"";"";""
"10.16.215.52/32";"Nie";"";"pcrf5-kaz";"Kołbuś Mariusz";"";"";""
"10.16.215.53/32";"Nie";"";"pcrf5-kaz";"Kołbuś Mariusz";"";"";""
"10.16.215.54/32";"Nie";"";"pcrf5-kaz";"Kołbuś Mariusz";"";"";""
"10.16.215.55/32";"Nie";"";"FUWDB3KAZ";"Markowski Marek";"";"";""
"10.16.215.56/32";"Nie";"";"FUWDB3KAZ";"Markowski Marek";"";"";""
"10.16.227.1/32";"Nie";"";"fuwidcb1-kal";"Kołbuś Mariusz";"";"";""
"10.16.227.2/32";"Nie";"";"fuwidcb1-kal";"Kołbuś Mariusz";"";"";""
"10.16.227.10/32";"Nie";"";"dcb-db-tb";"Kołbuś Mariusz ";"";"";""
"10.16.227.11/32";"Nie";"";"dcb-db-tb";"Kołbuś Mariusz ";"";"";""
"10.16.227.12/32";"Nie";"";"dcb-db-tb";"Kołbuś Mariusz ";"";"";""
"10.16.227.15/32";"Nie";"";"fuwtb4";"Kołbuś Mariusz";"";"";""
"10.16.227.25/32";"Nie";"";"pcrf1-kal";"Kołbuś Mariusz";"";"";""
"10.16.227.26/32";"Nie";"";"pcrf1-kal";"Kołbuś Mariusz";"";"";""
"10.16.227.28/32";"Nie";"";"FUWDB1-KAL";"Markowski Marek";"";"";""
"10.16.227.29/32";"Nie";"";"FUWDB1-KAL";"Markowski Marek";"";"";""
"10.16.227.31/32";"Nie";"";"fuwapptb";"Kołbuś Mariusz";"";"";""
"10.16.227.32/32";"Nie";"";"fuwapptb";"Kołbuś Mariusz";"";"";""
"10.16.227.33/32";"Nie";"";"fuwapptb";"Kołbuś Mariusz";"";"";""
"10.16.227.34/32";"Nie";"";"fuwdb-tb";"Kołbuś Mariusz";"";"";""
"10.16.227.35/32";"Nie";"";"fuwdb-tb";"Kołbuś Mariusz";"";"";""
"10.16.227.36/32";"Nie";"";"fuwdb-tb";"Kołbuś Mariusz";"";"";""
"10.16.227.37/32";"Nie";"";"fuwmsg1-kal";"Kołbuś Mariusz";"";"";""
"10.16.227.38/32";"Nie";"";"fuwmsg1-kal";"Kołbuś Mariusz";"";"";""
"126.198.142.112/28";"Nie";"";"";"";"";"";""
"10.16.227.39/32";"Nie";"";"fuwmsg1-kal";"Kołbuś Mariusz";"";"";""
"10.16.227.40/32";"Nie";"";"fuwmms1";"Kołbuś Mariusz";"";"";""
"10.16.227.41/32";"Nie";"";"fuwmms1";"Kołbuś Mariusz";"";"";""
"10.16.227.42/32";"Nie";"";"fuwmms1";"Kołbuś Mariusz";"";"";""
"10.16.227.43/32";"Nie";"";"fuwtb4";"Kołbuś Mariusz";"";"";""
"10.16.227.44/32";"Nie";"";"fuwtb4";"Kołbuś Mariusz";"";"";""
"10.16.227.46/32";"Nie";"";"pcrf1-kal";"Kołbuś Mariusz";"";"";""
"10.16.227.49/32";"Nie";"";"fuwidcb2-kal";"Kołbuś Mariusz";"";"";""
"10.16.227.50/32";"Nie";"";"fuwidcb2-kal";"Kołbuś Mariusz";"";"";""
"10.16.227.51/32";"Nie";"";"fuwidcb2-kal";"Kołbuś Mariusz";"";"";""
"10.16.227.52/32";"Nie";"";"FUWDB2-KAL";"Markowski Marek";"";"";""
"10.16.227.53/32";"Nie";"";"FUWDB2-KAL";"Markowski Marek";"";"";""
"10.16.227.54/32";"Nie";"";"FUWDB2-KAL";"Markowski Marek";"";"";""
"10.16.227.55/32";"Nie";"";"FUWDB2-KAL";"Markowski Marek";"";"";""
"10.16.227.56/32";"Nie";"";"FUWDB2-KAL";"Markowski Marek";"";"";""
"10.16.227.57/32";"Nie";"";"pcrf6-kal";"Kołbuś Mariusz";"";"";""
"10.16.227.58/32";"Nie";"";"pcrf6-kal";"Kołbuś Mariusz";"";"";""
"10.16.227.59/32";"Nie";"";"pcrf6-kal";"Kołbuś Mariusz";"";"";""
"126.198.160.0/29";"Nie";"";"PWLAN";"";"";"";""
"126.198.160.16/29";"Nie";"";"PWLAN";"";"";"";""
"172.18.220.0/24";"Nie";"";"LTE EPC Core ";"ASR TESTBED";"";"";""
"126.198.160.24/29";"Nie";"";"PWLAN";"";"";"";""
"172.18.222.0/24";"Nie";"";"LTE EPC Core";"Corpo APN SPGW, ";"MMS APN SPGW";"";""
"172.18.229.0/24";"Nie";"";"LTE EPC Core";"MME SGSN ";"SIGTRAN VRF BBSWITCH";"";""
"172.18.233.0/24";"Nie";"";"LTE EPC Core";"S1-DEC ";"SECURITY GATEWAYS";"";""
"126.198.135.232/29";"Nie";"";"mVAS Testbed Interconnect";"";"";"";""
"126.198.135.240/29";"Nie";"";"mVAS Testbed Interconnect";"";"";"";""
"126.198.160.8/29";"Nie";"";"PWLAN";"";"";"";""
"126.198.160.40/29";"Nie";"";"PWLAN";"";"";"";""
"126.198.160.32/29";"Nie";"";"PWLAN";"";"";"";""
"172.18.19.208/30";"Nie";"";"";"";"";"";""
"172.18.19.212/30";"Nie";"";"";"";"";"";""
"172.18.19.216/30";"Nie";"";"";"";"";"";""
"172.18.19.220/30";"Nie";"";"";"";"";"";""
"172.18.19.196/30";"Nie";"";"spgw-war01 27/1";"";"";"";""
"172.18.19.200/30";"Nie";"";"spgw-war02 22/1";"";"";"";""
"172.18.19.204/30";"Nie";"";"spgw-war02 27/1";"";"";"";""
"172.18.19.192/30";"Nie";"";"spgw-war01 22/1";"";"";"";""
"172.18.19.192/27";"Nie";"";"";"";"";"";""
"172.31.86.0/24";"Nie";"";"";"";"";"";""
"126.198.142.44/30";"Nie";"";"IPX-T BBSWITCHWAR14 <> WARKEN-BGR2";"";"";"";""
"126.198.142.0/28";"Nie";"";"IPX-T FWBG <> BBSWITCH-WAR11,12";"";"";"";""
"172.16.140.0/24";"Nie";"";"Gn transmission over IP/MPLS TP WAN";"";"";"";""
"100.70.0.0/28";"Nie";"";"OPL-FW-GCN<>OPL-Ruter-GCN - net  ";"";"";"";""
"100.70.0.24/29";"Nie";"";"OPL-Ruter-GCN<>IBNF-Ruter-GCN - KEN";"";"";"";""
"100.70.0.16/29";"Nie";"";"OPL-Ruter-GCN<>IBNF-Ruter-GCN - Barbary ";"";"";"";""
"126.198.142.16/28";"Nie";"";"IPX-T BBSWITCH ICC  ";"";"";"";""
"100.70.64.0/24";"Nie";"";"GCN OPL Connectivity ";"";"";"";""
"100.70.64.0/28";"Nie";"";"OPL-FW-GCN<>OPL-Ruter-GCN - net";"";"";"";""
"100.70.64.16/29";"Nie";"";"OPL-Ruter-GCN<>IBNF-Ruter-GCN - Barbary";"";"";"";""
"100.70.64.24/32";"Nie";"";"OPL-Ruter-GCN<>IBNF-Ruter-GCN - KEN  ";"";"";"";""
"172.18.253.128/25";"Nie";"";"DSR-External-KAT";"";"";"";""
"172.16.98.0/24";"Nie";"";"MWG Kazimierzowska";"";"";"";""
"172.16.99.0/24";"Nie";"";"MWG Kaliska";"";"";"";""
"172.16.100.0/24";"Nie";"";"MWG Poznan";"";"";"";""
"172.16.101.0/24";"Nie";"";"MWG Katowice";"";"";"";""
"172.16.102.0/24";"Nie";"";"MWG Gdansk";"";"";"";""
"172.16.103.0/24";"Nie";"";"F5 Kazimierzowska";"";"";"";""
"172.16.104.0/24";"Nie";"";"F5 Kaliska";"";"";"";""
"172.16.105.0/24";"Nie";"";"F5 Poznan";"";"";"";""
"172.16.106.0/24";"Nie";"";"F5 Katowice";"";"";"";""
"172.16.107.0/24";"Nie";"";"F5 Gdansk";"";"";"";""
"172.16.108.0/24";"Nie";"";"F5 Testbed Kazimierzowska";"";"";"";""
"126.198.130.32/27";"Nie";"";"New Interconnect z IT Punkt Styku";"";"";"";""
"192.168.99.0/29";"Nie";"";"CSD AS-INT AS-WAP SRX";"";"";"";""
"192.168.99.8/29";"Nie";"";"CSD AS-INT AS-WAP SRX";"";"";"";""
"126.198.138.0/26";"Nie";"";"Huawei mvas Testbed";"";"";"";""
"126.198.141.0/25";"Nie";"";"SDA-KAZ DATA";"";"";"";""
"126.198.142.0/24";"Nie";"";"ARP ";"";"";"";""
"126.198.142.240/32";"Tak";"185.39.53.165/32";"Roam Cloud 1";"";"";"";""
"126.198.142.241/32";"Tak";"185.39.53.166/32";"Roam Cloud 2";"";"";"";""
"10.11.187.0/29";"Nie";"";"Mariusz Szurkowski Testy";"";"";"";""
"10.11.187.8/29";"Nie";"";"Mariusz Szurkowski Testy";"";"";"";""
"126.198.142.32/28";"Nie";"";"";"";"";"";""
"126.198.142.48/28";"Nie";"";"";"";"";"";""
"126.198.142.64/28";"Nie";"";"";"";"";"";""
"126.198.142.80/28";"Nie";"";"";"";"";"";""
"126.198.142.128/28";"Nie";"";"";"";"";"";""
"126.198.142.144/28";"Nie";"";"";"";"";"";""
"126.198.142.160/28";"Nie";"";"";"";"";"";""
"126.198.142.176/28";"Nie";"";"";"";"";"";""
"126.198.142.192/28";"Nie";"";"";"";"";"";""
"126.198.142.208/28";"Nie";"";"";"";"";"";""
"126.198.142.224/28";"Nie";"";"";"";"";"";""
"126.198.142.240/28";"Nie";"";"";"";"";"";""
"126.198.142.32/30";"Nie";"";"IPX-T  BBSWITCHWAR11 <> WARN47-BGR1";"";"";"";""
"126.198.142.36/30";"Nie";"";"IPX-T BBSWITCHWAR12 <> WARN47-BGR1";"";"";"";""
"126.198.142.40/30";"Nie";"";"IPX-T  BBSWITCHWAR13 <> WARKEN-BGR2";"";"";"";""
"126.198.143.0/24";"Nie";"";"ISEP";"";"";"";""
"126.198.138.64/26";"Nie";"";"ISEP Swap WAN";"";"";"";""
"126.198.138.128/26";"Nie";"";"ISEP Oracle Coherence";"";"";"";""
"126.198.140.128/25";"Nie";"";"FW FRONT (BAE) NAT";"";"";"";""
"126.198.135.248/29";"Nie";"";"IN ZTE Internal";"";"";"";""
"10.16.229.0/25";"Nie";"";"VLAN-FUWPROD-KAL-2";"";"";"";""
"172.16.39.0/27";"Nie";"";"Corpo L3";"";"";"";""
"172.16.39.224/27";"Nie";"";"Corpo L3";"";"";"";""
"126.198.138.192/28";"Nie";"";"ERTM KEN";"";"";"";""
"172.18.20.0/24";"Nie";"";"VRF DCB_SRX EPC ECS";"interconnect";"";"";""
"172.18.20.0/26";"Nie";"";"";"";"";"";""
"172.18.20.64/26";"Nie";"";"";"";"";"";""
"172.18.20.128/26";"Nie";"";"";"";"";"";""
"172.18.20.192/26";"Nie";"";"";"";"";"";""
"172.18.21.0/24";"Nie";"";"VRF DCB_SRX EPC ECS";"interconnect";"";"";""
"172.31.75.0/24";"Nie";"";"";"";"";"";""
"172.18.217.0/24";"Nie";"";"LTE EPC RADIUS Loopbacks 1";"";"";"";""
"172.18.218.0/24";"Nie";"";"LTE EPC RADIUS Loopbacks 2";"";"";"";""
"126.198.144.0/28";"Nie";"";"AEPONA-TB-KEN WAN";"";"";"";""
"172.16.39.32/27";"Nie";"";"L3 Corpo RSP";"";"";"";""
"172.31.1.0/24";"Nie";"";"";"";"";"";""
"172.31.2.0/24";"Nie";"";"";"";"";"";""
"172.31.3.0/24";"Nie";"";"";"";"";"";""
"172.31.4.0/24";"Nie";"";"";"";"";"";""
"172.31.5.0/24";"Nie";"";"";"";"";"";""
